BRANCH_ID|BRANCH_NAME|NO_KONTRAK|NAMA_CUSTOMER|ANG_KE|OVERDUE|NILAI_PEMBAYARAN|NILAI_ANGSURAN|NILAI_DENDA|TANGGAL_PEMBAYARAN|JAM_PEMBAYARAN|TANGGAL_PEMBUKUAN|PAYMENT_SOURCE|VALDO_CC|FIN_TYPE
0304||030414107441||18|0|475000|475000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030614106317||21|2|708000|701000|7000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030614111777||18|3|564000|555000|9000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030614111500||18|3|1135000|1135000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0306||030614114260||16|6|355000|350000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0306||030614117036||14|0|580000|575000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0306||030615104295||9|2|556000|550000|6000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030615109043||6|3|585000|585000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0306||030615111969||4|7|687000|687000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0306||030615112235||4|0|593000|593000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030615112453||4|0|1040000|1040000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0306||030615114993||2|2|1077000|1077000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0306||030614109874||19|2|695000|690000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0306||030614111640||18|3|643000|633000|10000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030614111838||18|2|656000|650000|6000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030614112978||17|5|518000|513000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0306||030614113131||17|1|573000|570000|3000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030614114186||16|6|409000|404000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0306||030614116843||14|0|660000|660000|0|2016-01-26|00:00:00|2016-01-26|BCA|02|
0306||030614116591||14|1|650000|650000|0|2016-01-26|00:00:00|2016-01-25|KASIR|02|
0306||030614118606||12|0|565000|565000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030615105602||8|1|733600|730000|3600|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0306||030615110942||5|0|578000|578000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030615113671||3|5|364000|355000|9000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0306||030615107696||7|0|792000|743000|49000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030713409986||27|5|731000|713000|18000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030714100582||24|2|190000|190000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0307||030714410506||14|0|565000|565000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0307||030715104834||7|0|482835|481000|1835|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0307||030715106588||5|2|578000|578000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0307||030715108740||2|7|682000|662000|20000|2016-01-26|00:00:00|2016-01-25|KASIR|02|
0307||030715402893||9|1|2615000|2612000|3000|2016-01-26|00:00:00|2016-01-25|KASIR|02|
0307||030713106458||30|6|355000|350000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0307||030713106859||30|0|615000|615000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
